NATIONAL DATA BANK VERSION 8.2 - PUBLIC USE,,,,,,,,06/21/2012,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,,,12:07 PM,,,,,
Jan 1999,,,,,,,,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance
0100101 AL EBT AUTAUGA CO FS OFF,1056,,1704,,2760,,299,,780,,1079,,181536
0100301 AL EBT BALDWIN CO FS OFF,1322,,3544,,4866,,409,,1384,,1793,,309582
0100501 AL EBT BARBOUR CO FS OFF,1779,,2972,,4751,,486,,1332,,1818,,317578
0100701 AL EBT BIBB CO FS OFF,573,,1172,,1745,,162,,500,,662,,106879
0100901 AL EBT BLOUNT CO FS OFF,1090,,1735,,2825,,337,,785,,1122,,196399
0101101 AL EBT BULLOCK CO FS OFF,1048,,1206,,2254,,271,,540,,811,,148568
0101301 AL EBT BUTLER CO FSO,1141,,2218,,3359,,301,,1003,,1304,,214291
0101501 AL EBT CALHOUN CO FS OFF,3748,,7019,,10767,,1095,,3124,,4219,,803475
0101701 AL EBT CHAMBERS CO FS OFF,1262,,2376,,3638,,391,,1038,,1429,,257966
0101901 AL EBT CHEROKEE CO FS OFFICE,810,,1322,,2132,,254,,595,,849,,147487
0102101 AL EBT CHILTON CO FS OFF,1191,,2460,,3651,,356,,1059,,1415,,253383
0102301 AL EBT CHOCTAW CO FS OFF,922,,1421,,2343,,247,,687,,934,,158657
0102502 AL EBT CLARKE CO FS OFF.,1742,,3266,,5008,,784,,1228,,2012,,329308
0102701 AL EBT CLAY CO FS OFF,375,,441,,816,,123,,226,,349,,44738
0102901 AL EBT CLEBURNE CO FS OFF,377,,627,,1004,,127,,297,,424,,63048
0103101 AL EBT COFFEE CO FS OFF,1142,,1977,,3119,,343,,863,,1206,,197880
0103301 AL EBT COLBERT CO FS OFF,1224,,2913,,4137,,398,,1266,,1664,,284096
0103301 AL FSP COLBERT CO FS OFF,,,7,,7,,,,2,,2,,579
0103501 AL EBT CONECUH CO FS OFF,1569,,1647,,3216,,432,,913,,1345,,235030
0103701 AL EBT COOSA CO FSO,392,,516,,908,,106,,256,,362,,54925
0103901 AL EBT COVINGTON CO FS OFF,1591,,3141,,4732,,543,,1459,,2002,,322304
0103901 AL FSP COVINGTON CO FS OFF,1,,,,1,,1,,,,1,,110
0104101 AL EBT CRENSHAW CO FSO,666,,918,,1584,,223,,463,,686,,101154
0104301 AL EBT CULLMAN CO FS OFF,1444,,2337,,3781,,522,,1135,,1657,,246935
0104501 AL EBT DALE CO FS OFF,1906,,4341,,6247,,544,,1890,,2434,,444718
0104501 AL FSP DALE CO FS OFF,,,3,,3,,,,1,,1,,585
0104701 AL EBT DALLAS CO FS OFF,5202,,6892,,12094,,1273,,3352,,4625,,854109
0104701 AL FSP DALLAS CO FS OFF,7,,,,7,,1,,,,1,,616
0104901 AL EBT DEKALB CO FS OFF,1666,,2379,,4045,,564,,1141,,1705,,273813
0105101 AL EBT ELMORE CO FS OFF,1331,,2577,,3908,,336,,1041,,1377,,253871
0105301 AL EBT ESCAMBIA CO FS OFF,1163,,3007,,4170,,368,,1254,,1622,,298421
0105501 AL EBT ETOWQH CO FS OFF,3024,,6020,,9044,,1019,,2780,,3799,,628553
0105701 AL EBT FAYETTE CO FS OFF,898,,968,,1866,,323,,555,,878,,123986
0105901 AL EBT FRANKLIN CO FS OFF,1160,,1647,,2807,,373,,841,,1214,,185295
0106101 AL EBT GENEVA CO FS OFF,952,,1836,,2788,,319,,814,,1133,,193183
0106301 AL EBT GREENE CO FS OFF,937,,1757,,2694,,291,,775,,1066,,184898
0106501 AL EBT HALE CO FS OFF,941,,1907,,2848,,256,,779,,1035,,178572
0106701 AL EBT HENRY CO FS OFF,974,,1022,,1996,,321,,593,,914,,124034
0106901 AL EBT HOUSTON CO FS OFF,2891,,5874,,8765,,872,,2624,,3496,,601195
0107101 AL EBT JACKSON CO FS OFF,1382,,2414,,3796,,474,,1169,,1643,,252220
0107301 AL EBT JEFFERSON CO FS OFF,21050,,29122,,50172,,5950,,13859,,19809,,3605520
0107301 AL FSP JEFFERSON CO FS OFF,,,5,,5,,,,1,,1,,248
0107501 AL EBT LAMAR CO FS OFF,633,,969,,1602,,245,,496,,741,,101492
0107701 AL EBT LAUDERDALE CO FS OFF,1915,,3885,,5800,,592,,1719,,2311,,397723
0107901 AL EBT LAWRENCE CO FS OFF,1014,,1845,,2859,,323,,797,,1120,,188254
0108101 AL EBT LEE CO FOOD STAMP OFF,2169,,3735,,5904,,703,,1611,,2314,,413565
0108302 AL EBT LIMESTONE CO. FS OFF,1387,,3242,,4629,,785,,1248,,2033,,309444
0108501 AL EBT LOWNDES CO FS OFF,1273,,2166,,3439,,305,,960,,1265,,224806
0108701 AL EBT MACON CO FS OFF,2187,,4024,,6211,,605,,1941,,2546,,490970
