NATIONAL DATA BANK VERSION 8.2 - PUBLIC USE,,,,,,,,06/21/2012,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,,,12:09 PM,,,,,
Jan 1998,,,,,,,,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance
0100002 AL EBT ALABAMA DHR,166955,,266046,,433001,,49060,,119789,,168849,,29833066
0100901 AL FSP BLOUNT CO FS OFF,,,1,,1,,,,1,,1,,122
0101301 AL FSP BUTLER CO FSO,4,,4,,8,,1,,1,,2,,923
0101501 AL FSP CALHOUN CO FS OFF,3,,2,,5,,1,,1,,2,,433
0102101 AL FSP CHILTON CO FS OFF,3,,,,3,,1,,,,1,,433
0102502 AL FSP CLARKE CO FS OFF.,3,,,,3,,1,,,,1,,65
0103901 AL FSP COVINGTON CO FS OFF,4,,,,4,,1,,,,1,,325
0105501 AL FSP ETOWQH CO FS OFF,,,5,,5,,,,1,,1,,256
0105701 AL FSP FAYETTE CO FS OFF,,,2,,2,,,,1,,1,,398
0106301 AL FSP GREENE CO FS OFF,,,3,,3,,,,1,,1,,237
0106901 AL FSP HOUSTON CO FS OFF,,,1,,1,,,,1,,1,,12
0107301 AL FSP JEFFERSON CO FS OFF,,,2,,2,,,,1,,1,,81
0108902 AL FSP MADISON CO. FS OFF,,,1,,1,,,,1,,1,,161
0109701 AL FSP MOBILE CO FS OFF,4,,8,,12,,1,,3,,4,,648
0110301 AL FSP MORGAN CO FS OFF,,,7,,7,,,,1,,1,,1064
0110701 AL FSP PICKENS CO FS OFF,,,1,,1,,,,1,,1,,133
0112101 AL FSP TALLADEGA CO FS OFF,,,1,,1,,,,1,,1,,321
0112501 AL FSP TUSCALOOSA CO FS OFF,4,,6,,10,,1,,2,,3,,1005
0112701 AL FSP WALKER CO FS OFF,,,1,,1,,,,1,,1,,39
0211005 AK FSP ALASKA,22814,,21208,,44022,,7603,,7179,,14782,,4372286
0400101 AZ FSP APACHE,9316,,13113,,22429,,2187,,3856,,6043,,1511251
0400301 AZ FSP COCHISE,4632,,6889,,11521,,1466,,2895,,4361,,823381
0400501 AZ FSP COCONINO,4102,,6643,,10745,,1047,,2047,,3094,,762145
0400701 AZ FSP GILA,3001,,3930,,6931,,812,,1644,,2456,,498080
0400901 AZ FSP GRAHAM,1506,,2282,,3788,,428,,898,,1326,,253804
0401101 AZ FSP GREENLEE,136,,298,,434,,41,,147,,188,,30763
0401301 AZ FSP MARICOPA,48872,,73121,,121993,,15156,,31405,,46561,,8813916
0401501 AZ FSP MOHAVE,4440,,9283,,13723,,1349,,3849,,5198,,1002520
0401701 AZ FSP NAVAJO,7863,,10654,,18517,,1960,,3344,,5304,,1255610
0401901 AZ FSP PIMA,19531,,33085,,52616,,6112,,14751,,20863,,3735000
0402101 AZ FSP PINAL,6386,,7973,,14359,,1762,,3142,,4904,,993749
0402301 AZ FSP SANTA CRUZ,1015,,2709,,3724,,313,,934,,1247,,240208
0402501 AZ FSP YAVAPAI,1991,,5097,,7088,,628,,2333,,2961,,482411
0402701 AZ FSP YUMA,3926,,10602,,14528,,1209,,3856,,5065,,956293
0402901 AZ FSP LA PAZ CO DES,687,,1220,,1907,,211,,585,,796,,142290
0500101 AR FSP ARKANSAS COUNTY,284,,2293,,2577,,92,,947,,1039,,171529
0500301 AR FSP ASHLEY COUNTY,444,,2876,,3320,,138,,1203,,1341,,221840
0500501 AR FSP BAXTER COUNTY,294,,1988,,2282,,102,,777,,879,,137101
