NATIONAL DATA BANK VERSION 8.2 - PUBLIC USE,,,,,,,,06/21/2012,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,,,12:03 PM,,,,,
Jan 2001,,,,,,,,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance
0100101 AL EBT AUTAUGA CO FS OFF,1138,,1668,,2806,,322,,800,,1122,,194095
0100301 AL EBT BALDWIN CO FS OFF,1241,,3001,,4242,,404,,1186,,1590,,271027
0100501 AL EBT BARBOUR CO FS OFF,1467,,3017,,4484,,416,,1264,,1680,,315747
0100701 AL EBT BIBB CO FS OFF,582,,1164,,1746,,158,,493,,651,,115521
0100901 AL EBT BLOUNT CO FS OFF,964,,1529,,2493,,301,,693,,994,,177253
0101101 AL EBT BULLOCK CO FS OFF,987,,1136,,2123,,253,,533,,786,,141956
0101301 AL EBT BUTLER CO FSO,1079,,2346,,3425,,296,,1057,,1353,,230870
0101501 AL EBT CALHOUN CO FS OFF,3506,,7116,,10622,,1010,,3165,,4175,,808029
0101701 AL EBT CHAMBERS CO FS OFF,1155,,2442,,3597,,360,,1070,,1430,,261919
0101901 AL EBT CHEROKEE CO FS OFFICE,719,,1583,,2302,,225,,673,,898,,164971
0102101 AL EBT CHILTON CO FS OFF,1069,,2821,,3890,,339,,1164,,1503,,286414
0102301 AL EBT CHOCTAW CO FS OFF,742,,1398,,2140,,214,,654,,868,,154360
0102502 AL EBT CLARKE CO FS OFF.,1422,,3468,,4890,,689,,1310,,1999,,331149
0102701 AL EBT CLAY CO FS OFF,362,,499,,861,,118,,234,,352,,47074
0102901 AL EBT CLEBURNE CO FS OFF,370,,642,,1012,,124,,297,,421,,67768
0103101 AL EBT COFFEE CO FS OFF,1144,,2631,,3775,,327,,1091,,1418,,254158
0103301 AL EBT COLBERT CO FS OFF,1239,,3377,,4616,,409,,1436,,1845,,330936
0103501 AL EBT CONECUH CO FS OFF,1183,,1761,,2944,,343,,880,,1223,,211832
0103701 AL EBT COOSA CO FSO,430,,445,,875,,125,,241,,366,,53397
0103901 AL EBT COVINGTON CO FS OFF,1558,,3291,,4849,,519,,1530,,2049,,345467
0104101 AL EBT CRENSHAW CO FSO,624,,968,,1592,,201,,482,,683,,107036
0104301 AL EBT CULLMAN CO FS OFF,1457,,2537,,3994,,500,,1206,,1706,,273395
0104501 AL EBT DALE CO FS OFF,1701,,4284,,5985,,502,,1797,,2299,,433263
0104701 AL EBT DALLAS CO FS OFF,4510,,6956,,11466,,1109,,3266,,4375,,840428
0104901 AL EBT DEKALB CO FS OFF,1611,,2468,,4079,,535,,1157,,1692,,292655
0105101 AL EBT ELMORE CO FS OFF,1185,,3192,,4377,,304,,1208,,1512,,304393
0105301 AL EBT ESCAMBIA CO FS OFF,1131,,3568,,4699,,363,,1501,,1864,,351920
0105501 AL EBT ETOWQH CO FS OFF,2959,,5930,,8889,,983,,2700,,3683,,638412
0105701 AL EBT FAYETTE CO FS OFF,957,,1312,,2269,,324,,674,,998,,161287
0105901 AL EBT FRANKLIN CO FS OFF,1057,,1931,,2988,,342,,902,,1244,,204766
0106101 AL EBT GENEVA CO FS OFF,974,,1894,,2868,,319,,822,,1141,,205922
0106301 AL EBT GREENE CO FS OFF,850,,1523,,2373,,254,,688,,942,,164988
0106501 AL EBT HALE CO FS OFF,859,,1701,,2560,,234,,688,,922,,172512
0106701 AL EBT HENRY CO FS OFF,895,,1236,,2131,,294,,668,,962,,142255
0106901 AL EBT HOUSTON CO FS OFF,2938,,6338,,9276,,895,,2802,,3697,,656513
0107101 AL EBT JACKSON CO FS OFF,1389,,2982,,4371,,463,,1361,,1824,,309690
0107301 AL EBT JEFFERSON CO FS OFF,20798,,29186,,49984,,5944,,13792,,19736,,3729185
0107501 AL EBT LAMAR CO FS OFF,609,,1096,,1705,,227,,542,,769,,117639
0107701 AL EBT LAUDERDALE CO FS OFF,1780,,4222,,6002,,560,,1902,,2462,,436152
0107901 AL EBT LAWRENCE CO FS OFF,1050,,2083,,3133,,313,,910,,1223,,211687
0108101 AL EBT LEE CO FOOD STAMP OFF,1993,,3751,,5744,,636,,1610,,2246,,401793
0108302 AL EBT LIMESTONE CO. FS OFF,1139,,3202,,4341,,729,,1152,,1881,,284865
0108501 AL EBT LOWNDES CO FS OFF,1249,,2052,,3301,,326,,930,,1256,,235489
0108701 AL EBT MACON CO FS OFF,1715,,4313,,6028,,481,,2075,,2556,,481890
0108902 AL EBT MADISON CO. FS OFF,3845,,9050,,12895,,1956,,3407,,5363,,917591
0109101 AL EBT MARENGO CO FS OFC,1410,,2287,,3697,,396,,1040,,1436,,242837
0109301 AL EBT MARION CO FS OFF,1009,,2176,,3185,,342,,1001,,1343,,215072
0109501 AL EBT MARSHALL CO FS OFF,1987,,4474,,6461,,663,,1948,,2611,,474954
0109701 AL EBT MOBILE CO FS OFF,15759,,36132,,51891,,4512,,14604,,19116,,4068525
0109901 AL EBT MONROE CO FS OFF,916,,3017,,3933,,234,,1192,,1426,,298672
0110101 AL EBT MONTGOMERY CO FS OFF,10095,,19669,,29764,,2589,,8193,,10782,,2334267
0110301 AL EBT MORGAN CO FS OFF,1683,,3522,,5205,,547,,1506,,2053,,376791
0110501 AL EBT PERRY CO FS OFF,1441,,2786,,4227,,394,,1269,,1663,,306429
0110701 AL EBT PICKENS CO FS OFF,1291,,1811,,3102,,344,,862,,1206,,205245
0110901 AL EBT PIKE CO FOOD STAMP OFC,1771,,3185,,4956,,551,,1543,,2094,,362963
0111101 AL EBT RANDOLPH CO FSO,852,,1254,,2106,,244,,590,,834,,146110
0111301 AL EBT RUSSELL CO FS OFF,1965,,3482,,5447,,599,,1500,,2099,,405790
0111501 AL EBT ST CLAIR CO FS OFF,1347,,3544,,4891,,386,,1457,,1843,,352876
0111701 AL EBT SHELBY CO FS OFF,1077,,2245,,3322,,342,,977,,1319,,242317
0111901 AL EBT SUMTER CO FS OFF,1773,,2128,,3901,,482,,1105,,1587,,289848
0112101 AL EBT TALLADEGA CO FS OFF,3439,,5491,,8930,,1008,,2617,,3625,,637485
0112301 AL EBT TALLAPOOSA CO FS OFF,1274,,2681,,3955,,379,,1208,,1587,,278510
0112501 AL EBT TUSCALOOSA CO FS OFF,4384,,9114,,13498,,1286,,4080,,5366,,972159
0112701 AL EBT WALKER CO FS OFF,1614,,3177,,4791,,458,,1427,,1885,,365676
0112901 AL EBT WASHINGTON CO F S OFC,795,,1442,,2237,,234,,663,,897,,167447
0113101 AL EBT WILCOX CO FS OFF,2122,,2648,,4770,,539,,1335,,1874,,344749
0113301 AL EBT WINSTON CO FS OFF,728,,1581,,2309,,226,,671,,897,,157068
