NATIONAL DATA BANK VERSION 8.2 - PUBLIC USE,,,,,,,,06/21/2012,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,,,12:08 PM,,,,,
Jul 1999,,,,,,,,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance
0100101 AL EBT AUTAUGA CO FS OFF,1008,,1698,,2706,,295,,756,,1051,,177817
0100301 AL EBT BALDWIN CO FS OFF,1295,,3087,,4382,,421,,1260,,1681,,272303
0100501 AL EBT BARBOUR CO FS OFF,1659,,2841,,4500,,474,,1263,,1737,,307542
0100701 AL EBT BIBB CO FS OFF,574,,1061,,1635,,162,,461,,623,,102763
0100901 AL EBT BLOUNT CO FS OFF,1018,,1581,,2599,,320,,720,,1040,,180039
0101101 AL EBT BULLOCK CO FS OFF,992,,1107,,2099,,262,,503,,765,,139636
0101301 AL EBT BUTLER CO FSO,1102,,2212,,3314,,306,,977,,1283,,220145
0101501 AL EBT CALHOUN CO FS OFF,3694,,6650,,10344,,1078,,3007,,4085,,764183
0101701 AL EBT CHAMBERS CO FS OFF,1240,,2427,,3667,,388,,1046,,1434,,259988
0101901 AL EBT CHEROKEE CO FS OFFICE,710,,1305,,2015,,239,,565,,804,,136980
0102101 AL EBT CHILTON CO FS OFF,1105,,2262,,3367,,337,,993,,1330,,235400
0102301 AL EBT CHOCTAW CO FS OFF,911,,1366,,2277,,246,,640,,886,,153191
0102502 AL EBT CLARKE CO FS OFF.,1720,,3216,,4936,,764,,1224,,1988,,331076
0102701 AL EBT CLAY CO FS OFF,377,,418,,795,,123,,216,,339,,44847
0102901 AL EBT CLEBURNE CO FS OFF,359,,600,,959,,127,,276,,403,,60179
0103101 AL EBT COFFEE CO FS OFF,1184,,2097,,3281,,356,,902,,1258,,212379
0103301 AL EBT COLBERT CO FS OFF,1181,,2837,,4018,,384,,1230,,1614,,282100
0103501 AL EBT CONECUH CO FS OFF,1513,,1672,,3185,,423,,896,,1319,,232485
0103701 AL EBT COOSA CO FSO,342,,513,,855,,110,,244,,354,,50584
0103901 AL EBT COVINGTON CO FS OFF,1499,,3131,,4630,,514,,1421,,1935,,314123
0104101 AL EBT CRENSHAW CO FSO,682,,849,,1531,,225,,449,,674,,99607
0104301 AL EBT CULLMAN CO FS OFF,1341,,2152,,3493,,494,,1038,,1532,,228131
0104501 AL EBT DALE CO FS OFF,1806,,4209,,6015,,534,,1816,,2350,,427197
0104701 AL EBT DALLAS CO FS OFF,4858,,6871,,11729,,1188,,3281,,4469,,850066
0104901 AL EBT DEKALB CO FS OFF,1556,,2220,,3776,,543,,1091,,1634,,254718
0105101 AL EBT ELMORE CO FS OFF,1167,,2596,,3763,,306,,1007,,1313,,247574
0105301 AL EBT ESCAMBIA CO FS OFF,1035,,3109,,4144,,334,,1277,,1611,,301801
0105501 AL EBT ETOWQH CO FS OFF,2960,,5794,,8754,,1005,,2679,,3684,,609060
0105701 AL EBT FAYETTE CO FS OFF,862,,1013,,1875,,315,,574,,889,,126331
0105901 AL EBT FRANKLIN CO FS OFF,1154,,1482,,2636,,375,,776,,1151,,172701
0106101 AL EBT GENEVA CO FS OFF,890,,1694,,2584,,297,,750,,1047,,182896
0106301 AL EBT GREENE CO FS OFF,925,,1699,,2624,,283,,753,,1036,,178648
0106501 AL EBT HALE CO FS OFF,874,,1890,,2764,,243,,745,,988,,175334
0106701 AL EBT HENRY CO FS OFF,891,,1020,,1911,,293,,579,,872,,124362
0106901 AL EBT HOUSTON CO FS OFF,2742,,6002,,8744,,840,,2627,,3467,,590562
0107101 AL EBT JACKSON CO FS OFF,1372,,2573,,3945,,475,,1227,,1702,,271044
0107301 AL EBT JEFFERSON CO FS OFF,20121,,29212,,49333,,5830,,13583,,19413,,3644022
0107501 AL EBT LAMAR CO FS OFF,599,,959,,1558,,227,,485,,712,,101395
0107701 AL EBT LAUDERDALE CO FS OFF,1846,,3846,,5692,,592,,1721,,2313,,399735
0107901 AL EBT LAWRENCE CO FS OFF,967,,1689,,2656,,309,,761,,1070,,174300
0108101 AL EBT LEE CO FOOD STAMP OFF,1976,,3426,,5402,,652,,1486,,2138,,384699
0108302 AL EBT LIMESTONE CO. FS OFF,1280,,3344,,4624,,732,,1289,,2021,,301394
0108501 AL EBT LOWNDES CO FS OFF,1194,,2046,,3240,,284,,936,,1220,,223691
0108701 AL EBT MACON CO FS OFF,1925,,4169,,6094,,540,,1882,,2422,,483487
0108902 AL EBT MADISON CO. FS OFF,3953,,9850,,13803,,2004,,3757,,5761,,969971
0109101 AL EBT MARENGO CO FS OFC,1563,,2347,,3910,,425,,1067,,1492,,245684
0109301 AL EBT MARION CO FS OFF,900,,1437,,2337,,323,,719,,1042,,155030
0109501 AL EBT MARSHALL CO FS OFF,2182,,4032,,6214,,753,,1806,,2559,,440414
0109701 AL EBT MOBILE CO FS OFF,14957,,34227,,49184,,4174,,13841,,18015,,3736139
0109901 AL EBT MONROE CO FS OFF,1069,,3016,,4085,,282,,1182,,1464,,311404
0110101 AL EBT MONTGOMERY CO FS OFF,10377,,18274,,28651,,2599,,7772,,10371,,2127554
0110301 AL EBT MORGAN CO FS OFF,1740,,3060,,4800,,574,,1327,,1901,,342280
0110501 AL EBT PERRY CO FS OFF,1641,,2636,,4277,,450,,1225,,1675,,310913
0110701 AL EBT PICKENS CO FS OFF,1346,,2022,,3368,,370,,932,,1302,,225685
0110901 AL EBT PIKE CO FOOD STAMP OFC,1639,,2956,,4595,,510,,1411,,1921,,320709
0111101 AL EBT RANDOLPH CO FSO,791,,1154,,1945,,236,,537,,773,,133191
0111301 AL EBT RUSSELL CO FS OFF,1986,,3396,,5382,,608,,1455,,2063,,391664
0111501 AL EBT ST CLAIR CO FS OFF,1273,,3191,,4464,,378,,1298,,1676,,315957
0111701 AL EBT SHELBY CO FS OFF,985,,2053,,3038,,332,,929,,1261,,209628
0111901 AL EBT SUMTER CO FS OFF,1875,,1959,,3834,,539,,1050,,1589,,268826
0112101 AL EBT TALLADEGA CO FS OFF,3660,,5618,,9278,,1109,,2701,,3810,,648928
0112301 AL EBT TALLAPOOSA CO FS OFF,1393,,2551,,3944,,416,,1165,,1581,,264516
0112501 AL EBT TUSCALOOSA CO FS OFF,4607,,8855,,13462,,1326,,3923,,5249,,958838
0112701 AL EBT WALKER CO FS OFF,1542,,2615,,4157,,440,,1234,,1674,,306797
0112901 AL EBT WASHINGTON CO F S OFC,900,,1437,,2337,,243,,684,,927,,165265
0113101 AL EBT WILCOX CO FS OFF,2232,,2430,,4662,,564,,1246,,1810,,319975
0113301 AL EBT WINSTON CO FS OFF,670,,952,,1622,,228,,472,,700,,100249
0211005 AK EBT ALASKA,17987,,24161,,42148,,6197,,7833,,14030,,4067582
0211005 AK FSP ALASKA,275,,,,275,,68,,,,68,,33100
0400101 AZ FSP APACHE,8811,,11726,,20537,,2009,,3367,,5376,,1516784
0400301 AZ EBT COCHISE,3264,,6476,,9740,,1045,,2752,,3797,,712114
0400501 AZ FSP COCONINO,3200,,5737,,8937,,824,,1777,,2601,,664859
0400701 AZ EBT GILA,2593,,3075,,5668,,671,,1298,,1969,,443198
0400701 AZ FSP GILA,0,,0,,0,,0,,0,,0,,0
0400901 AZ EBT GRAHAM,1103,,2380,,3483,,311,,919,,1230,,254005
0401101 AZ EBT GREENLEE,101,,322,,423,,35,,156,,191,,29342
0401301 AZ EBT MARICOPA,39268,,65150,,104418,,12480,,27258,,39738,,8037459
0401301 AZ FSP MARICOPA,0,,0,,0,,0,,0,,0,,0
0401501 AZ EBT MOHAVE,3284,,8363,,11647,,1053,,3426,,4479,,872122
0401501 AZ FSP MOHAVE,0,,0,,0,,0,,0,,0,,0
0401701 AZ FSP NAVAJO,5718,,7837,,13555,,1385,,2433,,3818,,991374
0401901 AZ EBT PIMA,16273,,31557,,47830,,5097,,13875,,18972,,3609947
0402101 AZ EBT PINAL,5030,,7401,,12431,,1404,,2767,,4171,,932297
0402101 AZ FSP PINAL,0,,0,,0,,0,,0,,0,,0
0402301 AZ EBT SANTA CRUZ,760,,2683,,3443,,235,,969,,1204,,237070
0402501 AZ FSP YAVAPAI,1294,,4265,,5559,,422,,1946,,2368,,410291
0402701 AZ EBT YUMA,3035,,10795,,13830,,946,,3673,,4619,,1010268
0402701 AZ FSP YUMA,0,,0,,0,,0,,0,,0,,0
0402901 AZ EBT LA PAZ CO DES,391,,880,,1271,,113,,410,,523,,98401
0402901 AZ FSP LA PAZ CO DES,0,,0,,0,,0,,0,,0,,0
0500101 AR EBT ARKANSAS COUNTY,127,,2616,,2743,,41,,1109,,1150,,204652
